Customer_ID,Customer_Name,Email_ID,Gender,Customer_Age,Geography_ID
C100000,Neha Verma,neha.verma0@example.com,Male,62,G009
C100001,Arjun Patel,arjun.patel1@example.com,Male,62,G004
C100002,Neha Verma,neha.verma2@example.com,Other,42,G002
C100003,Aarav Verma,aarav.verma3@example.com,Male,29,G017
C100004,Kavya Sharma,kavya.sharma4@example.com,Other,27,G018
C100005,Rohit Patel,rohit.patel5@example.com,Female,52,G009
C100006,Pooja Sharma,pooja.sharma6@example.com,Male,59,G014
C100007,Karan Reddy,karan.reddy7@example.com,Male,28,G011
C100008,Vivaan Verma,vivaan.verma8@example.com,Female,21,G012
C100009,Riya Nair,riya.nair9@example.com,Other,31,G002
C100010,Sneha Singh,sneha.singh10@example.com,Other,22,G013
C100011,Vivaan Reddy,vivaan.reddy11@example.com,Other,54,G012
C100012,Kavya Patel,kavya.patel12@example.com,Other,19,G002
C100013,Neha Patel,neha.patel13@example.com,Female,20,G008
C100014,Riya Verma,riya.verma14@example.com,Female,32,G015
C100015,Neha Nair,neha.nair15@example.com,Male,38,G012
C100016,Arjun Reddy,arjun.reddy16@example.com,Other,58,G003
C100017,Kavya Iyer,kavya.iyer17@example.com,Other,61,G008
C100018,Aditya Singh,aditya.singh18@example.com,Female,32,G018
C100019,Arjun Nair,arjun.nair19@example.com,Male,29,G002
C100020,Pooja Nair,pooja.nair20@example.com,Female,32,G003
C100021,Arjun Nair,arjun.nair21@example.com,Male,56,G016
C100022,Rohit Singh,rohit.singh22@example.com,Male,31,G005
C100023,Arjun Reddy,arjun.reddy23@example.com,Other,52,G014
C100024,Kavya Gupta,kavya.gupta24@example.com,Female,29,G005
C100025,Priya Singh,priya.singh25@example.com,Male,63,G002
C100026,Riya Verma,riya.verma26@example.com,Male,55,G006
C100027,Pooja Gupta,pooja.gupta27@example.com,Other,19,G013
C100028,Rohit Singh,rohit.singh28@example.com,Other,31,G018
C100029,Riya Sharma,riya.sharma29@example.com,Other,61,G004
C100030,Neha Reddy,neha.reddy30@example.com,Other,36,G004
C100031,Rahul Gupta,rahul.gupta31@example.com,Male,44,G001
C100032,Sneha Reddy,sneha.reddy32@example.com,Other,63,G006
C100033,Priya Verma,priya.verma33@example.com,Other,34,G017
C100034,Kavya Patel,kavya.patel34@example.com,Male,38,G006
C100035,Priya Sharma,priya.sharma35@example.com,Other,35,G016
C100036,Aarav Verma,aarav.verma36@example.com,Female,68,G010
C100037,Arjun Sharma,arjun.sharma37@example.com,Male,51,G003
C100038,Vivaan Singh,vivaan.singh38@example.com,Male,63,G018
C100039,Pooja Iyer,pooja.iyer39@example.com,Male,57,G016
C100040,Priya Iyer,priya.iyer40@example.com,Female,48,G014
C100041,Arjun Patel,arjun.patel41@example.com,Other,34,G013
C100042,Neha Nair,neha.nair42@example.com,Female,48,G015
C100043,Vivaan Patel,vivaan.patel43@example.com,Male,19,G011
C100044,Aarav Patel,aarav.patel44@example.com,Other,29,G001
C100045,Vivaan Sharma,vivaan.sharma45@example.com,Male,19,G002
C100046,Riya Nair,riya.nair46@example.com,Male,47,G008
C100047,Rahul Singh,rahul.singh47@example.com,Male,49,G005
C100048,Sneha Singh,sneha.singh48@example.com,Male,65,G016
C100049,Pooja Gupta,pooja.gupta49@example.com,Male,21,G004
C100050,Neha Gupta,neha.gupta50@example.com,Female,42,G014
C100051,Ananya Sharma,ananya.sharma51@example.com,Other,56,G004
C100052,Aarav Gupta,aarav.gupta52@example.com,Other,36,G004
C100053,Arjun Patel,arjun.patel53@example.com,Male,49,G015
C100054,Aditya Gupta,aditya.gupta54@example.com,Male,32,G015
C100055,Arjun Verma,arjun.verma55@example.com,Female,66,G018
C100056,Vivaan Sharma,vivaan.sharma56@example.com,Other,49,G001
C100057,Vivaan Patel,vivaan.patel57@example.com,Male,41,G016
C100058,Ananya Patel,ananya.patel58@example.com,Female,18,G006
C100059,Rohit Sharma,rohit.sharma59@example.com,Female,31,G015
C100060,Rahul Gupta,rahul.gupta60@example.com,Other,61,G018
C100061,Neha Singh,neha.singh61@example.com,Male,27,G010
C100062,Arjun Sharma,arjun.sharma62@example.com,Other,62,G018
C100063,Aarav Nair,aarav.nair63@example.com,Male,18,G016
C100064,Priya Iyer,priya.iyer64@example.com,Male,47,G003
C100065,Riya Iyer,riya.iyer65@example.com,Male,53,G003
C100066,Neha Patel,neha.patel66@example.com,Female,22,G008
C100067,Kavya Sharma,kavya.sharma67@example.com,Other,20,G014
C100068,Neha Nair,neha.nair68@example.com,Female,28,G011
C100069,Arjun Reddy,arjun.reddy69@example.com,Female,23,G010
C100070,Ananya Nair,ananya.nair70@example.com,Male,15,G015
C100071,Kavya Verma,kavya.verma71@example.com,Male,49,G007
C100072,Priya Reddy,priya.reddy72@example.com,Male,37,G003
C100073,Arjun Nair,arjun.nair73@example.com,Female,25,G015
C100074,Riya Reddy,riya.reddy74@example.com,Other,66,G017
C100075,Aarav Reddy,aarav.reddy75@example.com,Other,21,G005
C100076,Rahul Verma,rahul.verma76@example.com,Male,62,G018
C100077,Aditya Reddy,aditya.reddy77@example.com,Female,53,G007
C100078,Sneha Nair,sneha.nair78@example.com,Male,58,G009
C100079,Priya Singh,priya.singh79@example.com,Female,69,G002
C100080,Vivaan Gupta,vivaan.gupta80@example.com,Female,17,G001
C100081,Karan Iyer,karan.iyer81@example.com,Other,31,G006
C100082,Sneha Singh,sneha.singh82@example.com,Other,60,G014
C100083,Priya Sharma,priya.sharma83@example.com,Male,19,G005
C100084,Priya Sharma,priya.sharma84@example.com,Female,52,G018
C100085,Aditya Gupta,aditya.gupta85@example.com,Male,17,G010
C100086,Karan Sharma,karan.sharma86@example.com,Female,28,G008
C100087,Neha Verma,neha.verma87@example.com,Female,64,G018
C100088,Riya Gupta,riya.gupta88@example.com,Other,62,G005
C100089,Arjun Iyer,arjun.iyer89@example.com,Male,41,G001
C100090,Aditya Nair,aditya.nair90@example.com,Female,66,G008
C100091,Rahul Iyer,rahul.iyer91@example.com,Other,21,G013
C100092,Riya Sharma,riya.sharma92@example.com,Female,29,G007
C100093,Riya Singh,riya.singh93@example.com,Female,34,G008
C100094,Arjun Sharma,arjun.sharma94@example.com,Other,27,G013
C100095,Karan Reddy,karan.reddy95@example.com,Male,64,G009
C100096,Karan Gupta,karan.gupta96@example.com,Other,68,G018
C100097,Karan Sharma,karan.sharma97@example.com,Male,31,G006
C100098,Kavya Reddy,kavya.reddy98@example.com,Male,21,G014
C100099,Karan Nair,karan.nair99@example.com,Female,53,G017
C100100,Vivaan Gupta,vivaan.gupta100@example.com,Other,27,G009
C100101,Aarav Gupta,aarav.gupta101@example.com,Male,48,G018
C100102,Neha Patel,neha.patel102@example.com,Female,42,G003
C100103,Neha Nair,neha.nair103@example.com,Other,35,G004
C100104,Sneha Reddy,sneha.reddy104@example.com,Other,34,G014
C100105,Karan Gupta,karan.gupta105@example.com,Other,33,G018
C100106,Aditya Patel,aditya.patel106@example.com,Female,57,G013
C100107,Neha Iyer,neha.iyer107@example.com,Other,51,G010
C100108,Rohit Sharma,rohit.sharma108@example.com,Female,33,G007
C100109,Rohit Nair,rohit.nair109@example.com,Female,43,G015
C100110,Neha Patel,neha.patel110@example.com,Other,45,G006
C100111,Neha Verma,neha.verma111@example.com,Female,47,G011
C100112,Vivaan Patel,vivaan.patel112@example.com,Other,34,G008
C100113,Pooja Patel,pooja.patel113@example.com,Male,16,G002
C100114,Arjun Singh,arjun.singh114@example.com,Other,69,G003
C100115,Ananya Gupta,ananya.gupta115@example.com,Other,51,G007
C100116,Sneha Gupta,sneha.gupta116@example.com,Female,40,G008
C100117,Aditya Sharma,aditya.sharma117@example.com,Male,64,G014
C100118,Arjun Iyer,arjun.iyer118@example.com,Other,48,G015
C100119,Aarav Patel,aarav.patel119@example.com,Male,44,G005
C100120,Pooja Singh,pooja.singh120@example.com,Other,48,G018
C100121,Kavya Nair,kavya.nair121@example.com,Female,54,G017
C100122,Rohit Singh,rohit.singh122@example.com,Male,62,G016
C100123,Ananya Reddy,ananya.reddy123@example.com,Male,68,G009
C100124,Pooja Singh,pooja.singh124@example.com,Other,30,G009
C100125,Ananya Verma,ananya.verma125@example.com,Other,33,G008
C100126,Rahul Nair,rahul.nair126@example.com,Female,49,G003
C100127,Aditya Iyer,aditya.iyer127@example.com,Male,39,G005
C100128,Sneha Patel,sneha.patel128@example.com,Male,41,G014
C100129,Karan Singh,karan.singh129@example.com,Female,18,G007
C100130,Riya Gupta,riya.gupta130@example.com,Female,64,G001
C100131,Riya Gupta,riya.gupta131@example.com,Female,15,G012
C100132,Rahul Gupta,rahul.gupta132@example.com,Female,49,G018
C100133,Pooja Patel,pooja.patel133@example.com,Female,29,G009
C100134,Rohit Singh,rohit.singh134@example.com,Male,39,G011
C100135,Neha Gupta,neha.gupta135@example.com,Other,25,G015
C100136,Aditya Sharma,aditya.sharma136@example.com,Female,52,G001
C100137,Vivaan Gupta,vivaan.gupta137@example.com,Male,70,G015
C100138,Aditya Sharma,aditya.sharma138@example.com,Female,39,G011
C100139,Arjun Singh,arjun.singh139@example.com,Female,36,G013
C100140,Rahul Gupta,rahul.gupta140@example.com,Female,68,G003
C100141,Ananya Sharma,ananya.sharma141@example.com,Other,49,G002
C100142,Karan Patel,karan.patel142@example.com,Other,19,G002
C100143,Pooja Sharma,pooja.sharma143@example.com,Male,27,G001
C100144,Kavya Iyer,kavya.iyer144@example.com,Male,23,G016
C100145,Neha Verma,neha.verma145@example.com,Other,28,G015
C100146,Sneha Reddy,sneha.reddy146@example.com,Female,25,G004
C100147,Pooja Iyer,pooja.iyer147@example.com,Female,21,G001
C100148,Rahul Gupta,rahul.gupta148@example.com,Female,60,G007
C100149,Vivaan Patel,vivaan.patel149@example.com,Male,59,G010
C100150,Riya Verma,riya.verma150@example.com,Other,65,G002
C100151,Karan Gupta,karan.gupta151@example.com,Other,38,G003
C100152,Priya Nair,priya.nair152@example.com,Male,69,G014
C100153,Riya Singh,riya.singh153@example.com,Male,42,G012
